"doi","URL","content.type","content.version","intended.application","language","id"
"10.1007/978-3-642-14316-8","http://link.springer.com/content/pdf/10.1007/978-3-642-14316-8.pdf","application/pdf","vor","text-mining",NA,121
"10.1007/978-3-642-14316-8","http://link.springer.com/content/pdf/10.1007/978-3-642-14316-8","unspecified","vor","similarity-checking",NA,122
"10.1002/sres.2683","https://api.wiley.com/onlinelibrary/tdm/v1/articles/10.1002%2Fsres.2683","application/pdf","vor","text-mining","en",123
"10.1002/sres.2683","http://onlinelibrary.wiley.com/wol1/doi/10.1002/sres.2683/fullpdf","unspecified","vor","similarity-checking","en",124
"10.1177/1350508406059635","http://journals.sagepub.com/doi/pdf/10.1177/1350508406059635","application/pdf","vor","text-mining","en",125
"10.1177/1350508406059635","http://journals.sagepub.com/doi/pdf/10.1177/1350508406059635","unspecified","vor","similarity-checking","en",126
"10.1108/jpmd-09-2017-0098","https://www.emerald.com/insight/content/doi/10.1108/JPMD-09-2017-0098/full/html","unspecified","vor","similarity-checking","en",127
"10.1080/13569783.2017.1358081","https://www.tandfonline.com/doi/pdf/10.1080/13569783.2017.1358081","unspecified","vor","similarity-checking","en",128
"10.1177/02632764211039280","http://journals.sagepub.com/doi/pdf/10.1177/02632764211039280","application/pdf","vor","text-mining","en",129
"10.1177/02632764211039280","http://journals.sagepub.com/doi/pdf/10.1177/02632764211039280","unspecified","vor","similarity-checking","en",130
"10.1080/21515581.2018.1552592","https://www.tandfonline.com/doi/pdf/10.1080/21515581.2018.1552592","unspecified","vor","similarity-checking","en",131
"10.1108/k-01-2018-0016","https://www.emerald.com/insight/content/doi/10.1108/K-01-2018-0016/full/html","unspecified","vor","similarity-checking","en",132
"10.1111/j.1369-7625.2011.00657.x","https://api.wiley.com/onlinelibrary/tdm/v1/articles/10.1111%2Fj.1369-7625.2011.00657.x","unspecified","vor","text-mining","en",133
"10.1111/j.1369-7625.2011.00657.x","http://onlinelibrary.wiley.com/wol1/doi/10.1111/j.1369-7625.2011.00657.x/fullpdf","unspecified","vor","similarity-checking","en",134
"10.1080/1523908x.2020.1768834","https://www.tandfonline.com/doi/pdf/10.1080/1523908X.2020.1768834","unspecified","vor","similarity-checking","en",135
"10.5465/amr.2018.0176","https://journals.aom.org/doi/10.5465/amr.2018.0176","unspecified","vor","similarity-checking","en",136
"10.1177/0191453706059846","http://journals.sagepub.com/doi/pdf/10.1177/0191453706059846","application/pdf","vor","text-mining","en",137
"10.1177/0191453706059846","http://journals.sagepub.com/doi/pdf/10.1177/0191453706059846","unspecified","vor","similarity-checking","en",138
